Comment,Designator,Footprint,LCSC
10n,"C13,C14",C_0402_1005Metric,C15195
4u7,"C11,C12,C9",C_0402_1005Metric,C23733
39,R2,R_0402_1005Metric,C25164
10k,"R1,R3,R4,R6,R7,R8,R9",R_0402_1005Metric,C25744
15k,R5,R_0402_1005Metric,C25756
4k7,"R10,R11",R_0402_1005Metric,C25900
100n,"C1,C10,C2,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C307331
PER56,SW1,RotaryEncoder_Bourns_PER561-P115-N0015,C470483
SK6812MINI-E,"D1,D2,D3,D4,D5,D6,D7,D8",LED_OPSCO_SK6812MINI-E,C524051
VIK Module,"J1,J2",VIK_Module_Horizontal,C88360
AP2127K-ADJ,U2,SOT-23-5,C96343
PMW3360DM-T2QU_1,U1,PixArt_PMW3360DM-T2QU,
